Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
False,58.0,2557,,,Absolute,3s,Map
False,154.0,2557,,,Absolute,3s,Map
False,57.0,2557,,,Absolute,3s,Map
True,53.0,2557,,,Absolute,3s,Map
False,178.0,2557,,,Absolute,3s,Map
True,155.0,2557,,,Absolute,3s,Map
True,121.0,2557,,,Absolute,3s,Map
True,170.0,2557,,,Absolute,3s,Map
False,118.0,2557,,,Absolute,3s,Map
False,194.0,2557,,,Absolute,3s,Map
True,91.0,2557,,,Absolute,3s,Map
True,139.0,2557,,,Absolute,3s,Map
True,74.0,2557,,,Absolute,3s,Map
False,168.0,2557,,,Absolute,3s,Map
False,62.0,2557,,,Absolute,3s,Map
False,16.0,2557,,,Absolute,Inf,Map
True,106.0,2557,,,Absolute,Inf,Map
True,96.0,2557,,,Absolute,Inf,Map
False,181.0,2557,,,Absolute,Inf,Map
False,126.0,2557,,,Absolute,Inf,Map
False,137.0,2557,,,Absolute,Inf,Map
True,115.0,2557,,,Absolute,Inf,Map
False,6.0,2557,,,Absolute,Inf,Map
False,148.0,2557,,,Absolute,Inf,Map
True,153.0,2557,,,Absolute,Inf,Map
True,69.0,2557,,,Absolute,Inf,Map
True,39.0,2557,,,Absolute,Inf,Map
True,183.0,2557,,,Absolute,Inf,Map
False,29.0,2557,,,Absolute,Inf,Map
True,102.0,2557,,,Absolute,Inf,Map
True,175.0,2557,,,Absolute,Inf,Map
True,149.0,2557,,,Absolute,Inf,Map
False,133.0,2557,,,Absolute,Inf,Map
False,54.0,2557,,,Absolute,Inf,Map
True,123.0,2557,,,Absolute,Inf,Map
True,169.0,2557,,,Absolute,Inf,Map
True,152.0,2557,,,Absolute,Inf,Map
True,103.0,2557,,,Absolute,Inf,Map
False,162.0,2557,,,Absolute,Inf,Map
True,8.0,2557,,,Absolute,Inf,Map
False,159.0,2557,,,Absolute,Inf,Map
False,32.0,2557,,,Absolute,Inf,Map
False,124.0,2557,,,Absolute,Inf,Map
True,197.0,2557,,,Absolute,Inf,Map
