Subject,Task,Time,Accuracy,Group
8479,Relative,3s,0.5833333333333334,Map
8479,Relative,Inf,0.5833333333333334,Map
8802,Relative,3s,0.4444444444444444,Map
8802,Relative,Inf,0.4444444444444444,Map
9369,Relative,3s,0.5,Map
9369,Relative,Inf,0.6111111111111112,Map
9864,Relative,3s,0.4722222222222222,Map
9864,Relative,Inf,0.5555555555555556,Map
1719,Pointing,3s,0.4444444444444444,Map
1719,Pointing,Inf,0.4444444444444444,Map
2096,Pointing,3s,0.3333333333333333,Map
2096,Pointing,Inf,0.6111111111111112,Map
2294,Pointing,3s,0.5277777777777778,Map
2294,Pointing,Inf,0.3611111111111111,Map
2299,Pointing,3s,0.4722222222222222,Map
2299,Pointing,Inf,0.5277777777777778,Map
2557,Pointing,3s,0.3333333333333333,Map
2557,Pointing,Inf,0.6111111111111112,Map
3426,Pointing,3s,0.5833333333333334,Map
3426,Pointing,Inf,0.6388888888888888,Map
4199,Pointing,3s,0.5277777777777778,Map
4199,Pointing,Inf,0.6944444444444444,Map
4749,Pointing,3s,0.5555555555555556,Map
4749,Pointing,Inf,0.5277777777777778,Map
5048,Pointing,3s,0.4722222222222222,Map
5048,Pointing,Inf,0.4166666666666667,Map
5162,Pointing,3s,0.4722222222222222,Map
5162,Pointing,Inf,0.5833333333333334,Map
5904,Pointing,3s,0.5277777777777778,Map
5904,Pointing,Inf,0.5277777777777778,Map
6449,Pointing,3s,0.5555555555555556,Map
6449,Pointing,Inf,0.75,Map
7085,Pointing,3s,0.4444444444444444,Map
7085,Pointing,Inf,0.75,Map
7396,Pointing,3s,0.5277777777777778,Map
7396,Pointing,Inf,0.5555555555555556,Map
7844,Pointing,3s,0.5555555555555556,Map
7844,Pointing,Inf,0.5555555555555556,Map
8021,Pointing,3s,0.6111111111111112,Map
8021,Pointing,Inf,0.4444444444444444,Map
8078,Pointing,3s,0.5,Map
8078,Pointing,Inf,0.5833333333333334,Map
8124,Pointing,3s,0.5833333333333334,Map
8124,Pointing,Inf,0.8611111111111112,Map
8479,Pointing,3s,0.4444444444444444,Map
8479,Pointing,Inf,0.5555555555555556,Map
8802,Pointing,3s,0.4166666666666667,Map
8802,Pointing,Inf,0.6666666666666666,Map
9369,Pointing,3s,0.3333333333333333,Map
9369,Pointing,Inf,0.5,Map
9864,Pointing,3s,0.3611111111111111,Map
9864,Pointing,Inf,0.5277777777777778,Map
1089,Absolute,3s,0.4166666666666667,VR
1089,Absolute,Inf,0.4722222222222222,VR
1155,Absolute,3s,0.4722222222222222,VR
1155,Absolute,Inf,0.5,VR
2044,Absolute,3s,0.4444444444444444,VR
2044,Absolute,Inf,0.4166666666666667,VR
3023,Absolute,3s,0.6666666666666666,VR
3023,Absolute,Inf,0.75,VR
3743,Absolute,3s,0.4444444444444444,VR
3743,Absolute,Inf,0.7777777777777778,VR
4272,Absolute,3s,0.3888888888888889,VR
4272,Absolute,Inf,0.4722222222222222,VR
5239,Absolute,3s,0.5833333333333334,VR
5239,Absolute,Inf,0.4722222222222222,VR
5253,Absolute,3s,0.5277777777777778,VR
5253,Absolute,Inf,0.6388888888888888,VR
5346,Absolute,3s,0.4166666666666667,VR
5346,Absolute,Inf,0.75,VR
6398,Absolute,3s,0.5277777777777778,VR
6398,Absolute,Inf,0.8055555555555556,VR
7021,Absolute,3s,0.5555555555555556,VR
7021,Absolute,Inf,0.5277777777777778,VR
8072,Absolute,3s,0.6666666666666666,VR
8072,Absolute,Inf,0.5833333333333334,VR
8195,Absolute,3s,0.4444444444444444,VR
8195,Absolute,Inf,0.3888888888888889,VR
8261,Absolute,3s,0.5,VR
8261,Absolute,Inf,0.6944444444444444,VR
8547,Absolute,3s,0.4166666666666667,VR
8547,Absolute,Inf,0.6388888888888888,VR
8699,Absolute,3s,0.5277777777777778,VR
8699,Absolute,Inf,0.5,VR
8936,Absolute,3s,0.5277777777777778,VR
8936,Absolute,Inf,0.5,VR
8954,Absolute,3s,0.4444444444444444,VR
8954,Absolute,Inf,0.5277777777777778,VR
9017,Absolute,3s,0.5,VR
9017,Absolute,Inf,0.5,VR
9437,Absolute,3s,0.6944444444444444,VR
9437,Absolute,Inf,0.4444444444444444,VR
9475,Absolute,3s,0.6388888888888888,VR
9475,Absolute,Inf,0.6666666666666666,VR
9961,Absolute,3s,0.3888888888888889,VR
9961,Absolute,Inf,0.5555555555555556,VR
1089,Relative,3s,0.5555555555555556,VR
1089,Relative,Inf,0.6111111111111112,VR
1155,Relative,3s,0.5277777777777778,VR
1155,Relative,Inf,0.5,VR
2044,Relative,3s,0.4444444444444444,VR
2044,Relative,Inf,0.6388888888888888,VR
3023,Relative,3s,0.6944444444444444,VR
3023,Relative,Inf,0.75,VR
3743,Relative,3s,0.4722222222222222,VR
3743,Relative,Inf,0.6388888888888888,VR
4272,Relative,3s,0.3333333333333333,VR
4272,Relative,Inf,0.5833333333333334,VR
5239,Relative,3s,0.3888888888888889,VR
5239,Relative,Inf,0.5833333333333334,VR
5253,Relative,3s,0.4444444444444444,VR
5253,Relative,Inf,0.4166666666666667,VR
5346,Relative,3s,0.4166666666666667,VR
5346,Relative,Inf,0.5833333333333334,VR
6398,Relative,3s,0.5833333333333334,VR
6398,Relative,Inf,0.8055555555555556,VR
7021,Relative,3s,0.5277777777777778,VR
7021,Relative,Inf,0.6388888888888888,VR
8072,Relative,3s,0.5,VR
8072,Relative,Inf,0.4722222222222222,VR
8195,Relative,3s,0.4722222222222222,VR
8195,Relative,Inf,0.5833333333333334,VR
8261,Relative,3s,0.3611111111111111,VR
8261,Relative,Inf,0.6111111111111112,VR
8547,Relative,3s,0.5555555555555556,VR
8547,Relative,Inf,0.3888888888888889,VR
8699,Relative,3s,0.5555555555555556,VR
8699,Relative,Inf,0.5,VR
8936,Relative,3s,0.5,VR
8936,Relative,Inf,0.2222222222222222,VR
8954,Relative,3s,0.5,VR
8954,Relative,Inf,0.6111111111111112,VR
9017,Relative,3s,0.6111111111111112,VR
9017,Relative,Inf,0.6666666666666666,VR
9437,Relative,3s,0.5,VR
9437,Relative,Inf,0.3333333333333333,VR
9475,Relative,3s,0.5277777777777778,VR
9475,Relative,Inf,0.5277777777777778,VR
9961,Relative,3s,0.4722222222222222,VR
9961,Relative,Inf,0.5277777777777778,VR
1089,Pointing,3s,0.5555555555555556,VR
1089,Pointing,Inf,0.6944444444444444,VR
1155,Pointing,3s,0.5,VR
1155,Pointing,Inf,0.6666666666666666,VR
2044,Pointing,3s,0.5,VR
2044,Pointing,Inf,0.5833333333333334,VR
3023,Pointing,3s,0.5,VR
3023,Pointing,Inf,0.8055555555555556,VR
3743,Pointing,3s,0.6111111111111112,VR
3743,Pointing,Inf,0.7222222222222222,VR
4272,Pointing,3s,0.5833333333333334,VR
4272,Pointing,Inf,0.6111111111111112,VR
5239,Pointing,3s,0.3888888888888889,VR
5239,Pointing,Inf,0.5277777777777778,VR
5253,Pointing,3s,0.5277777777777778,VR
5253,Pointing,Inf,0.5833333333333334,VR
5346,Pointing,3s,0.5,VR
5346,Pointing,Inf,0.5,VR
6398,Pointing,3s,0.5555555555555556,VR
6398,Pointing,Inf,0.5555555555555556,VR
7021,Pointing,3s,0.6388888888888888,VR
7021,Pointing,Inf,0.6388888888888888,VR
8072,Pointing,3s,0.4444444444444444,VR
8072,Pointing,Inf,0.6666666666666666,VR
8195,Pointing,3s,0.3888888888888889,VR
8195,Pointing,Inf,0.5,VR
8261,Pointing,3s,0.6388888888888888,VR
8261,Pointing,Inf,0.5555555555555556,VR
8547,Pointing,3s,0.6388888888888888,VR
8547,Pointing,Inf,0.5,VR
8699,Pointing,3s,0.5555555555555556,VR
8699,Pointing,Inf,0.5833333333333334,VR
8936,Pointing,3s,0.5277777777777778,VR
8936,Pointing,Inf,0.5833333333333334,VR
8954,Pointing,3s,0.5,VR
8954,Pointing,Inf,0.6944444444444444,VR
9017,Pointing,3s,0.5,VR
9017,Pointing,Inf,0.5555555555555556,VR
9437,Pointing,3s,0.5,VR
9437,Pointing,Inf,0.6111111111111112,VR
9475,Pointing,3s,0.4722222222222222,VR
9475,Pointing,Inf,0.5833333333333334,VR
9961,Pointing,3s,0.4166666666666667,VR
9961,Pointing,Inf,0.6111111111111112,VR
