Subject,Task,Time,AngularDiff,Accuracy,Group
5048,Pointing,3s,60,0.5,map
5048,Pointing,3s,90,0.5,map
5048,Pointing,Inf,120,0.3333333333333333,map
5048,Pointing,Inf,150,0.16666666666666666,map
5048,Pointing,Inf,180,0.5,map
5048,Pointing,Inf,30,0.3333333333333333,map
5048,Pointing,Inf,60,0.5,map
5048,Pointing,Inf,90,0.6666666666666666,map
5162,Pointing,3s,120,0.3333333333333333,map
5162,Pointing,3s,150,0.6666666666666666,map
5162,Pointing,3s,180,0.5,map
5162,Pointing,3s,30,0.5,map
5162,Pointing,3s,60,0.5,map
5162,Pointing,3s,90,0.3333333333333333,map
5162,Pointing,Inf,120,0.5,map
5162,Pointing,Inf,150,0.5,map
5162,Pointing,Inf,180,0.3333333333333333,map
5162,Pointing,Inf,30,0.6666666666666666,map
5162,Pointing,Inf,60,0.6666666666666666,map
5162,Pointing,Inf,90,0.8333333333333334,map
5904,Pointing,3s,120,0.8333333333333334,map
5904,Pointing,3s,150,0.3333333333333333,map
5904,Pointing,3s,180,0.3333333333333333,map
5904,Pointing,3s,30,0.3333333333333333,map
5904,Pointing,3s,60,1.0,map
5904,Pointing,3s,90,0.3333333333333333,map
5904,Pointing,Inf,120,0.5,map
5904,Pointing,Inf,150,0.3333333333333333,map
5904,Pointing,Inf,180,0.6666666666666666,map
5904,Pointing,Inf,30,0.3333333333333333,map
5904,Pointing,Inf,60,0.8333333333333334,map
5904,Pointing,Inf,90,0.5,map
6449,Pointing,3s,120,0.6666666666666666,map
6449,Pointing,3s,150,0.5,map
6449,Pointing,3s,180,0.5,map
6449,Pointing,3s,30,0.6666666666666666,map
6449,Pointing,3s,60,0.5,map
6449,Pointing,3s,90,0.5,map
6449,Pointing,Inf,120,0.6666666666666666,map
6449,Pointing,Inf,150,0.8333333333333334,map
6449,Pointing,Inf,180,0.5,map
6449,Pointing,Inf,30,0.6666666666666666,map
6449,Pointing,Inf,60,0.8333333333333334,map
6449,Pointing,Inf,90,1.0,map
7085,Pointing,3s,120,0.5,map
7085,Pointing,3s,150,0.3333333333333333,map
7085,Pointing,3s,180,0.6666666666666666,map
7085,Pointing,3s,30,0.16666666666666666,map
7085,Pointing,3s,60,0.5,map
7085,Pointing,3s,90,0.5,map
7085,Pointing,Inf,120,0.8333333333333334,map
7085,Pointing,Inf,150,0.6666666666666666,map
7085,Pointing,Inf,180,0.8333333333333334,map
7085,Pointing,Inf,30,0.6666666666666666,map
7085,Pointing,Inf,60,0.6666666666666666,map
7085,Pointing,Inf,90,0.8333333333333334,map
7396,Pointing,3s,120,0.5,map
7396,Pointing,3s,150,0.5,map
7396,Pointing,3s,180,0.5,map
7396,Pointing,3s,30,0.5,map
7396,Pointing,3s,60,0.6666666666666666,map
7396,Pointing,3s,90,0.5,map
7396,Pointing,Inf,120,0.6666666666666666,map
7396,Pointing,Inf,150,0.8333333333333334,map
7396,Pointing,Inf,180,0.5,map
7396,Pointing,Inf,30,0.8333333333333334,map
7396,Pointing,Inf,60,0.16666666666666666,map
7396,Pointing,Inf,90,0.3333333333333333,map
7844,Pointing,3s,120,0.5,map
7844,Pointing,3s,150,0.3333333333333333,map
7844,Pointing,3s,180,0.6666666666666666,map
7844,Pointing,3s,30,0.5,map
7844,Pointing,3s,60,0.6666666666666666,map
7844,Pointing,3s,90,0.6666666666666666,map
7844,Pointing,Inf,120,0.6666666666666666,map
7844,Pointing,Inf,150,0.3333333333333333,map
7844,Pointing,Inf,180,0.5,map
7844,Pointing,Inf,30,0.16666666666666666,map
7844,Pointing,Inf,60,0.8333333333333334,map
7844,Pointing,Inf,90,0.8333333333333334,map
8021,Pointing,3s,120,0.6666666666666666,map
8021,Pointing,3s,150,0.6666666666666666,map
8021,Pointing,3s,180,0.3333333333333333,map
8021,Pointing,3s,30,0.8333333333333334,map
8021,Pointing,3s,60,0.6666666666666666,map
8021,Pointing,3s,90,0.5,map
8021,Pointing,Inf,120,0.3333333333333333,map
8021,Pointing,Inf,150,0.6666666666666666,map
8021,Pointing,Inf,180,0.6666666666666666,map
8021,Pointing,Inf,30,0.3333333333333333,map
8021,Pointing,Inf,60,0.5,map
8021,Pointing,Inf,90,0.16666666666666666,map
8078,Pointing,3s,120,0.6666666666666666,map
8078,Pointing,3s,150,0.6666666666666666,map
8078,Pointing,3s,180,0.5,map
8078,Pointing,3s,30,0.6666666666666666,map
8078,Pointing,3s,60,0.3333333333333333,map
8078,Pointing,3s,90,0.16666666666666666,map
8078,Pointing,Inf,120,0.6666666666666666,map
8078,Pointing,Inf,150,0.6666666666666666,map
8078,Pointing,Inf,180,0.8333333333333334,map
8078,Pointing,Inf,30,0.3333333333333333,map
8078,Pointing,Inf,60,0.5,map
8078,Pointing,Inf,90,0.5,map
8124,Pointing,3s,120,1.0,map
8124,Pointing,3s,150,0.6666666666666666,map
8124,Pointing,3s,180,0.5,map
8124,Pointing,3s,30,0.6666666666666666,map
8124,Pointing,3s,60,0.5,map
8124,Pointing,3s,90,0.16666666666666666,map
8124,Pointing,Inf,120,0.8333333333333334,map
8124,Pointing,Inf,150,0.8333333333333334,map
8124,Pointing,Inf,180,1.0,map
8124,Pointing,Inf,30,0.8333333333333334,map
8124,Pointing,Inf,60,0.8333333333333334,map
8124,Pointing,Inf,90,0.8333333333333334,map
8479,Pointing,3s,120,0.6666666666666666,map
8479,Pointing,3s,150,0.5,map
8479,Pointing,3s,180,0.6666666666666666,map
8479,Pointing,3s,30,0.5,map
8479,Pointing,3s,60,0.3333333333333333,map
8479,Pointing,3s,90,0.0,map
8479,Pointing,Inf,120,0.6666666666666666,map
8479,Pointing,Inf,150,0.5,map
8479,Pointing,Inf,180,0.6666666666666666,map
8479,Pointing,Inf,30,0.3333333333333333,map
8479,Pointing,Inf,60,0.5,map
8479,Pointing,Inf,90,0.6666666666666666,map
8802,Pointing,3s,120,0.5,map
8802,Pointing,3s,150,0.5,map
8802,Pointing,3s,180,0.3333333333333333,map
8802,Pointing,3s,30,0.5,map
8802,Pointing,3s,60,0.5,map
8802,Pointing,3s,90,0.16666666666666666,map
8802,Pointing,Inf,120,0.6666666666666666,map
8802,Pointing,Inf,150,0.6666666666666666,map
8802,Pointing,Inf,180,0.5,map
8802,Pointing,Inf,30,0.8333333333333334,map
8802,Pointing,Inf,60,0.6666666666666666,map
8802,Pointing,Inf,90,0.6666666666666666,map
9369,Pointing,3s,120,0.16666666666666666,map
9369,Pointing,3s,150,0.0,map
9369,Pointing,3s,180,0.3333333333333333,map
9369,Pointing,3s,30,0.5,map
9369,Pointing,3s,60,0.6666666666666666,map
9369,Pointing,3s,90,0.3333333333333333,map
9369,Pointing,Inf,120,0.6666666666666666,map
9369,Pointing,Inf,150,0.5,map
9369,Pointing,Inf,180,0.3333333333333333,map
9369,Pointing,Inf,30,0.5,map
9369,Pointing,Inf,60,0.5,map
9369,Pointing,Inf,90,0.5,map
9864,Pointing,3s,120,0.16666666666666666,map
9864,Pointing,3s,150,0.16666666666666666,map
9864,Pointing,3s,180,0.5,map
9864,Pointing,3s,30,0.5,map
9864,Pointing,3s,60,0.16666666666666666,map
9864,Pointing,3s,90,0.6666666666666666,map
9864,Pointing,Inf,120,0.5,map
9864,Pointing,Inf,150,0.5,map
9864,Pointing,Inf,180,0.3333333333333333,map
9864,Pointing,Inf,30,0.5,map
9864,Pointing,Inf,60,0.5,map
9864,Pointing,Inf,90,0.8333333333333334,map
1089,Absolute,3s,120,0.5,VR
1089,Absolute,3s,150,0.16666666666666666,VR
1089,Absolute,3s,180,0.16666666666666666,VR
1089,Absolute,3s,30,0.8333333333333334,VR
1089,Absolute,3s,60,0.5,VR
1089,Absolute,3s,90,0.3333333333333333,VR
1089,Absolute,Inf,120,0.6666666666666666,VR
1089,Absolute,Inf,150,0.6666666666666666,VR
1089,Absolute,Inf,180,0.3333333333333333,VR
1089,Absolute,Inf,30,0.6666666666666666,VR
1089,Absolute,Inf,60,0.16666666666666666,VR
1089,Absolute,Inf,90,0.3333333333333333,VR
1155,Absolute,3s,120,0.6666666666666666,VR
1155,Absolute,3s,150,0.3333333333333333,VR
1155,Absolute,3s,180,0.5,VR
1155,Absolute,3s,30,0.5,VR
1155,Absolute,3s,60,0.6666666666666666,VR
1155,Absolute,3s,90,0.16666666666666666,VR
1155,Absolute,Inf,120,0.3333333333333333,VR
1155,Absolute,Inf,150,0.5,VR
1155,Absolute,Inf,180,0.3333333333333333,VR
1155,Absolute,Inf,30,0.5,VR
1155,Absolute,Inf,60,0.6666666666666666,VR
1155,Absolute,Inf,90,0.6666666666666666,VR
2044,Absolute,3s,120,0.5,VR
2044,Absolute,3s,150,0.16666666666666666,VR
2044,Absolute,3s,180,0.6666666666666666,VR
2044,Absolute,3s,30,0.6666666666666666,VR
2044,Absolute,3s,60,0.5,VR
2044,Absolute,3s,90,0.16666666666666666,VR
2044,Absolute,Inf,120,0.5,VR
2044,Absolute,Inf,150,0.3333333333333333,VR
2044,Absolute,Inf,180,0.16666666666666666,VR
2044,Absolute,Inf,30,0.6666666666666666,VR
2044,Absolute,Inf,60,0.6666666666666666,VR
2044,Absolute,Inf,90,0.16666666666666666,VR
3023,Absolute,3s,120,0.8333333333333334,VR
3023,Absolute,3s,150,0.8333333333333334,VR
3023,Absolute,3s,180,0.6666666666666666,VR
3023,Absolute,3s,30,0.6666666666666666,VR
3023,Absolute,3s,60,0.5,VR
3023,Absolute,3s,90,0.5,VR
3023,Absolute,Inf,120,1.0,VR
3023,Absolute,Inf,150,0.6666666666666666,VR
3023,Absolute,Inf,180,1.0,VR
3023,Absolute,Inf,30,0.5,VR
3023,Absolute,Inf,60,0.8333333333333334,VR
3023,Absolute,Inf,90,0.5,VR
3743,Absolute,3s,120,0.5,VR
3743,Absolute,3s,150,0.5,VR
3743,Absolute,3s,180,0.5,VR
3743,Absolute,3s,30,0.16666666666666666,VR
3743,Absolute,3s,60,0.3333333333333333,VR
3743,Absolute,3s,90,0.6666666666666666,VR
3743,Absolute,Inf,120,0.5,VR
3743,Absolute,Inf,150,1.0,VR
3743,Absolute,Inf,180,1.0,VR
3743,Absolute,Inf,30,0.8333333333333334,VR
3743,Absolute,Inf,60,0.5,VR
3743,Absolute,Inf,90,0.8333333333333334,VR
4272,Absolute,3s,120,0.5,VR
4272,Absolute,3s,150,0.6666666666666666,VR
4272,Absolute,3s,180,0.5,VR
4272,Absolute,3s,30,0.16666666666666666,VR
4272,Absolute,3s,60,0.3333333333333333,VR
4272,Absolute,3s,90,0.16666666666666666,VR
4272,Absolute,Inf,120,0.16666666666666666,VR
4272,Absolute,Inf,150,0.6666666666666666,VR
4272,Absolute,Inf,180,0.5,VR
4272,Absolute,Inf,30,0.5,VR
4272,Absolute,Inf,60,0.3333333333333333,VR
4272,Absolute,Inf,90,0.6666666666666666,VR
5239,Absolute,3s,120,0.5,VR
5239,Absolute,3s,150,0.3333333333333333,VR
5239,Absolute,3s,180,0.6666666666666666,VR
5239,Absolute,3s,30,1.0,VR
5239,Absolute,3s,60,0.5,VR
5239,Absolute,3s,90,0.5,VR
5239,Absolute,Inf,120,0.8333333333333334,VR
5239,Absolute,Inf,150,0.5,VR
5239,Absolute,Inf,180,0.3333333333333333,VR
5239,Absolute,Inf,30,0.3333333333333333,VR
5239,Absolute,Inf,60,0.5,VR
5239,Absolute,Inf,90,0.3333333333333333,VR
5253,Absolute,3s,120,0.3333333333333333,VR
5253,Absolute,3s,150,1.0,VR
5253,Absolute,3s,180,0.5,VR
5253,Absolute,3s,30,0.5,VR
5253,Absolute,3s,60,0.3333333333333333,VR
5253,Absolute,3s,90,0.5,VR
5253,Absolute,Inf,120,0.6666666666666666,VR
5253,Absolute,Inf,150,0.6666666666666666,VR
5253,Absolute,Inf,180,0.6666666666666666,VR
5253,Absolute,Inf,30,0.5,VR
5253,Absolute,Inf,60,0.6666666666666666,VR
5253,Absolute,Inf,90,0.6666666666666666,VR
5346,Absolute,3s,120,0.3333333333333333,VR
5346,Absolute,3s,150,0.5,VR
5346,Absolute,3s,180,0.3333333333333333,VR
5346,Absolute,3s,30,0.16666666666666666,VR
5346,Absolute,3s,60,0.3333333333333333,VR
5346,Absolute,3s,90,0.8333333333333334,VR
5346,Absolute,Inf,120,0.6666666666666666,VR
5346,Absolute,Inf,150,0.8333333333333334,VR
5346,Absolute,Inf,180,0.8333333333333334,VR
5346,Absolute,Inf,30,0.6666666666666666,VR
5346,Absolute,Inf,60,0.8333333333333334,VR
5346,Absolute,Inf,90,0.6666666666666666,VR
6398,Absolute,3s,120,0.6666666666666666,VR
6398,Absolute,3s,150,0.8333333333333334,VR
6398,Absolute,3s,180,0.5,VR
6398,Absolute,3s,30,0.16666666666666666,VR
6398,Absolute,3s,60,0.5,VR
6398,Absolute,3s,90,0.5,VR
6398,Absolute,Inf,120,0.5,VR
6398,Absolute,Inf,150,0.6666666666666666,VR
6398,Absolute,Inf,180,1.0,VR
6398,Absolute,Inf,30,0.8333333333333334,VR
6398,Absolute,Inf,60,1.0,VR
6398,Absolute,Inf,90,0.8333333333333334,VR
7021,Absolute,3s,120,0.6666666666666666,VR
7021,Absolute,3s,150,0.6666666666666666,VR
7021,Absolute,3s,180,0.5,VR
7021,Absolute,3s,30,0.5,VR
7021,Absolute,3s,60,0.5,VR
7021,Absolute,3s,90,0.5,VR
7021,Absolute,Inf,120,0.5,VR
7021,Absolute,Inf,150,1.0,VR
7021,Absolute,Inf,180,0.5,VR
7021,Absolute,Inf,30,0.5,VR
7021,Absolute,Inf,60,0.3333333333333333,VR
7021,Absolute,Inf,90,0.3333333333333333,VR
8072,Absolute,3s,120,0.5,VR
8072,Absolute,3s,150,0.5,VR
8072,Absolute,3s,180,0.8333333333333334,VR
8072,Absolute,3s,30,0.8333333333333334,VR
8072,Absolute,3s,60,1.0,VR
8072,Absolute,3s,90,0.3333333333333333,VR
8072,Absolute,Inf,120,0.5,VR
8072,Absolute,Inf,150,0.5,VR
8072,Absolute,Inf,180,0.5,VR
8072,Absolute,Inf,30,0.5,VR
8072,Absolute,Inf,60,1.0,VR
8072,Absolute,Inf,90,0.5,VR
8195,Absolute,3s,120,0.6666666666666666,VR
8195,Absolute,3s,150,0.16666666666666666,VR
