Accuracy,PrimeNr,Subject,TargetNr,TargetNr_wrong,Task,Time,Group
True,132.0,3023,,,Absolute,3s,VR
True,34.0,3023,,,Absolute,3s,VR
True,106.0,3023,,,Absolute,Inf,VR
True,12.0,3023,,,Absolute,Inf,VR
True,54.0,3023,,,Absolute,Inf,VR
True,159.0,3023,,,Absolute,Inf,VR
False,153.0,3023,,,Absolute,Inf,VR
False,197.0,3023,,,Absolute,Inf,VR
True,130.0,3023,,,Absolute,Inf,VR
True,102.0,3023,,,Absolute,Inf,VR
True,113.0,3023,,,Absolute,Inf,VR
True,152.0,3023,,,Absolute,Inf,VR
True,96.0,3023,,,Absolute,Inf,VR
True,149.0,3023,,,Absolute,Inf,VR
True,124.0,3023,,,Absolute,Inf,VR
False,126.0,3023,,,Absolute,Inf,VR
True,32.0,3023,,,Absolute,Inf,VR
True,181.0,3023,,,Absolute,Inf,VR
True,138.0,3023,,,Absolute,Inf,VR
True,172.0,3023,,,Absolute,Inf,VR
True,16.0,3023,,,Absolute,Inf,VR
True,123.0,3023,,,Absolute,Inf,VR
False,183.0,3023,,,Absolute,Inf,VR
True,69.0,3023,,,Absolute,Inf,VR
True,103.0,3023,,,Absolute,Inf,VR
True,169.0,3023,,,Absolute,Inf,VR
False,175.0,3023,,,Absolute,Inf,VR
True,162.0,3023,,,Absolute,Inf,VR
True,8.0,3023,,,Absolute,Inf,VR
False,39.0,3023,,,Absolute,Inf,VR
True,115.0,3023,,,Absolute,Inf,VR
True,63.0,3023,,,Absolute,Inf,VR
True,133.0,3023,,,Absolute,Inf,VR
True,137.0,3023,,,Absolute,Inf,VR
False,60.0,3023,,,Absolute,Inf,VR
False,148.0,3023,,,Absolute,Inf,VR
False,29.0,3023,,,Absolute,Inf,VR
True,6.0,3023,,,Absolute,Inf,VR
True,177.0,7021,,,Absolute,3s,VR
True,70.0,7021,,,Absolute,3s,VR
True,154.0,7021,,,Absolute,3s,VR
False,132.0,7021,,,Absolute,3s,VR
True,168.0,7021,,,Absolute,3s,VR
True,108.0,7021,,,Absolute,3s,VR
True,178.0,7021,,,Absolute,3s,VR
True,74.0,7021,,,Absolute,3s,VR
False,196.0,7021,,,Absolute,3s,VR
False,34.0,7021,,,Absolute,3s,VR
False,121.0,7021,,,Absolute,3s,VR
True,134.0,7021,,,Absolute,3s,VR
True,58.0,7021,,,Absolute,3s,VR
False,122.0,7021,,,Absolute,3s,VR
True,118.0,7021,,,Absolute,3s,VR
True,62.0,7021,,,Absolute,3s,VR
True,194.0,7021,,,Absolute,3s,VR
False,140.0,7021,,,Absolute,3s,VR
False,10.0,7021,,,Absolute,3s,VR
True,155.0,7021,,,Absolute,3s,VR
False,17.0,7021,,,Absolute,3s,VR
True,171.0,7021,,,Absolute,3s,VR
False,56.0,7021,,,Absolute,3s,VR
True,145.0,7021,,,Absolute,3s,VR
False,136.0,7021,,,Absolute,3s,VR
False,176.0,7021,,,Absolute,3s,VR
False,55.0,7021,,,Absolute,3s,VR
False,139.0,7021,,,Absolute,3s,VR
False,53.0,7021,,,Absolute,3s,VR
True,91.0,7021,,,Absolute,3s,VR
True,170.0,7021,,,Absolute,3s,VR
True,57.0,7021,,,Absolute,3s,VR
False,112.0,7021,,,Absolute,3s,VR
True,128.0,7021,,,Absolute,3s,VR
False,167.0,7021,,,Absolute,3s,VR
True,147.0,7021,,,Absolute,3s,VR
True,16.0,7021,,,Absolute,Inf,VR
True,181.0,7021,,,Absolute,Inf,VR
False,126.0,7021,,,Absolute,Inf,VR
False,137.0,7021,,,Absolute,Inf,VR
True,138.0,7021,,,Absolute,Inf,VR
True,63.0,7021,,,Absolute,Inf,VR
True,159.0,7021,,,Absolute,Inf,VR
False,54.0,7021,,,Absolute,Inf,VR
True,106.0,7021,,,Absolute,Inf,VR
False,124.0,7021,,,Absolute,Inf,VR
False,32.0,7021,,,Absolute,Inf,VR
False,6.0,7021,,,Absolute,Inf,VR
False,130.0,7021,,,Absolute,Inf,VR
True,149.0,7021,,,Absolute,Inf,VR
True,172.0,7021,,,Absolute,Inf,VR
True,69.0,7021,,,Absolute,Inf,VR
False,169.0,7021,,,Absolute,Inf,VR
False,96.0,7021,,,Absolute,Inf,VR
False,152.0,7021,,,Absolute,Inf,VR
True,8.0,7021,,,Absolute,Inf,VR
False,162.0,7021,,,Absolute,Inf,VR
True,39.0,7021,,,Absolute,Inf,VR
False,12.0,7021,,,Absolute,Inf,VR
False,103.0,7021,,,Absolute,Inf,VR
True,113.0,7021,,,Absolute,Inf,VR
True,197.0,7021,,,Absolute,Inf,VR
False,148.0,7021,,,Absolute,Inf,VR
True,123.0,7021,,,Absolute,Inf,VR
True,183.0,7021,,,Absolute,Inf,VR
True,115.0,7021,,,Absolute,Inf,VR
True,133.0,7021,,,Absolute,Inf,VR
True,153.0,7021,,,Absolute,Inf,VR
True,29.0,7021,,,Absolute,Inf,VR
False,175.0,7021,,,Absolute,Inf,VR
False,60.0,7021,,,Absolute,Inf,VR
False,102.0,7021,,,Absolute,Inf,VR
True,56.0,5239,,,Absolute,3s,VR
False,10.0,5239,,,Absolute,3s,VR
False,58.0,5239,,,Absolute,3s,VR
True,147.0,5239,,,Absolute,3s,VR
False,167.0,5239,,,Absolute,3s,VR
False,118.0,5239,,,Absolute,3s,VR
False,70.0,5239,,,Absolute,3s,VR
True,155.0,5239,,,Absolute,3s,VR
True,154.0,5239,,,Absolute,3s,VR
True,91.0,5239,,,Absolute,3s,VR
False,112.0,5239,,,Absolute,3s,VR
False,134.0,5239,,,Absolute,3s,VR
True,74.0,5239,,,Absolute,3s,VR
True,128.0,5239,,,Absolute,3s,VR
False,34.0,5239,,,Absolute,3s,VR
True,139.0,5239,,,Absolute,3s,VR
True,57.0,5239,,,Absolute,3s,VR
False,178.0,5239,,,Absolute,3s,VR
True,194.0,5239,,,Absolute,3s,VR
False,176.0,5239,,,Absolute,3s,VR
True,171.0,5239,,,Absolute,3s,VR
True,168.0,5239,,,Absolute,3s,VR
True,17.0,5239,,,Absolute,3s,VR
True,53.0,5239,,,Absolute,3s,VR
False,62.0,5239,,,Absolute,3s,VR
True,140.0,5239,,,Absolute,3s,VR
False,145.0,5239,,,Absolute,3s,VR
True,177.0,5239,,,Absolute,3s,VR
True,121.0,5239,,,Absolute,3s,VR
True,122.0,5239,,,Absolute,3s,VR
True,136.0,5239,,,Absolute,3s,VR
False,132.0,5239,,,Absolute,3s,VR
False,108.0,5239,,,Absolute,3s,VR
True,55.0,5239,,,Absolute,3s,VR
False,170.0,5239,,,Absolute,3s,VR
True,196.0,5239,,,Absolute,3s,VR
False,181.0,5239,,,Absolute,Inf,VR
True,169.0,5239,,,Absolute,Inf,VR
False,54.0,5239,,,Absolute,Inf,VR
True,63.0,5239,,,Absolute,Inf,VR
